model_adversary;model_explainer;blackbox_version;fidelity;fooled_heuristic;ood_accuracy;summary
explan;lore;one_unrelated_features;0.74;0.9057570416332053;0.8978244561140285;{1: [('age', 0.09546925566343042), ('length_of_stay', 0.3737864077669903), ('priors_count', 0.08737864077669903), ('race', 0.1488673139158576), ('unrelated_column_one', 0.29449838187702265)], 2: [('Nothing shown', 0.06310679611650485), ('age', 0.06957928802588997), ('c_charge_degree', 0.01779935275080906), ('length_of_stay', 0.05825242718446602), ('priors_count', 0.04854368932038835), ('race', 0.2540453074433657), ('sex', 0.011326860841423949), ('two_year_recid', 0.030744336569579287), ('unrelated_column_one', 0.4320388349514563), ('unrelated_column_two', 0.014563106796116505)], 3: [('Nothing shown', 0.13106796116504854), ('age', 0.1423948220064725), ('c_charge_degree', 0.0825242718446602), ('length_of_stay', 0.14401294498381878), ('priors_count', 0.10679611650485436), ('race', 0.11003236245954692), ('sex', 0.043689320388349516), ('two_year_recid', 0.0744336569579288), ('unrelated_column_one', 0.09061488673139159), ('unrelated_column_two', 0.0744336569579288)]}
explan;lore;two_unrelated_features;0.74;1.012904506970406;0.900225056264066;{1: [('age', 0.09870550161812297), ('length_of_stay', 0.46763754045307443), ('priors_count', 0.07281553398058252), ('race', 0.09870550161812297), ('sex', 0.0016181229773462784), ('unrelated_column_one', 0.13754045307443366), ('unrelated_column_two', 0.12297734627831715)], 2: [('Nothing shown', 0.008090614886731391), ('age', 0.0744336569579288), ('c_charge_degree', 0.009708737864077669), ('length_of_stay', 0.06634304207119741), ('priors_count', 0.05501618122977346), ('race', 0.11326860841423948), ('sex', 0.006472491909385114), ('two_year_recid', 0.014563106796116505), ('unrelated_column_one', 0.2815533980582524), ('unrelated_column_two', 0.3705501618122977)], 3: [('Nothing shown', 0.059870550161812294), ('age', 0.06310679611650485), ('c_charge_degree', 0.0372168284789644), ('length_of_stay', 0.05016181229773463), ('priors_count', 0.06472491909385113), ('race', 0.18446601941747573), ('sex', 0.0372168284789644), ('two_year_recid', 0.0372168284789644), ('unrelated_column_one', 0.24919093851132687), ('unrelated_column_two', 0.2168284789644013)]}
explan;lime;one_unrelated_features;0.74;0.006479662375425931;0.8978244561140285;{1: [('length_of_stay', 0.003236245954692557), ('unrelated_column_one', 0.9967637540453075)], 2: [('race', 0.9983818770226537), ('unrelated_column_one', 0.0016181229773462784)], 3: [('length_of_stay', 0.0016181229773462784), ('priors_count', 0.8851132686084142), ('sex', 0.008090614886731391), ('two_year_recid', 0.10355987055016182), ('unrelated_column_two', 0.0016181229773462784)]}
explan;lime;two_unrelated_features;0.74;11.899291033876143;0.900225056264066;{1: [('length_of_stay', 0.003236245954692557), ('race', 0.9967637540453075)], 2: [('age', 0.006472491909385114), ('c_charge_degree', 0.016181229773462782), ('priors_count', 0.1634304207119741), ('race', 0.0016181229773462784), ('sex', 0.09061488673139159), ('unrelated_column_one', 0.3673139158576052), ('unrelated_column_two', 0.35436893203883496)], 3: [('age', 0.045307443365695796), ('c_charge_degree', 0.04692556634304207), ('length_of_stay', 0.0016181229773462784), ('priors_count', 0.3284789644012945), ('sex', 0.08090614886731391), ('two_year_recid', 0.032362459546925564), ('unrelated_column_one', 0.19579288025889968), ('unrelated_column_two', 0.2686084142394822)]}
explan;shap;one_unrelated_features;0.74;0.2755068271739723;0.8978244561140285;{1: [('age', 0.006472491909385114), ('length_of_stay', 0.05663430420711974), ('priors_count', 0.02750809061488673), ('race', 0.04692556634304207), ('unrelated_column_one', 0.8624595469255664)], 2: [('age', 0.05339805825242718), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.0825242718446602), ('priors_count', 0.12297734627831715), ('race', 0.5922330097087378), ('sex', 0.014563106796116505), ('two_year_recid', 0.021035598705501618), ('unrelated_column_one', 0.09061488673139159), ('unrelated_column_two', 0.006472491909385114)], 3: [('age', 0.10517799352750809), ('c_charge_degree', 0.024271844660194174), ('length_of_stay', 0.16666666666666666), ('priors_count', 0.29449838187702265), ('race', 0.22491909385113268), ('sex', 0.011326860841423949), ('two_year_recid', 0.059870550161812294), ('unrelated_column_one', 0.04692556634304207), ('unrelated_column_two', 0.06634304207119741)]}
explan;shap;two_unrelated_features;0.74;1.5037567747333225;0.900225056264066;{1: [('age', 0.025889967637540454), ('c_charge_degree', 0.008090614886731391), ('length_of_stay', 0.0372168284789644), ('priors_count', 0.0372168284789644), ('race', 0.3155339805825243), ('unrelated_column_one', 0.284789644012945), ('unrelated_column_two', 0.2912621359223301)], 2: [('age', 0.05501618122977346), ('c_charge_degree', 0.008090614886731391), ('length_of_stay', 0.06796116504854369), ('priors_count', 0.08737864077669903), ('race', 0.3122977346278317), ('sex', 0.009708737864077669), ('two_year_recid', 0.019417475728155338), ('unrelated_column_one', 0.21197411003236247), ('unrelated_column_two', 0.22815533980582525)], 3: [('age', 0.1343042071197411), ('c_charge_degree', 0.019417475728155338), ('length_of_stay', 0.08090614886731391), ('priors_count', 0.11165048543689321), ('race', 0.2961165048543689), ('sex', 0.019417475728155338), ('two_year_recid', 0.012944983818770227), ('unrelated_column_one', 0.1925566343042071), ('unrelated_column_two', 0.13268608414239483)]}
lore;anchors;one_unrelated_features;0.64;1.1960119765345443;0.9718674393743318;{1: [('age', 0.06796116504854369), ('length_of_stay', 0.08414239482200647), ('priors_count', 0.08414239482200647), ('race', 0.5598705501618123), ('unrelated_column_one', 0.20388349514563106)], 2: [('Nothing shown', 0.0889967637540453), ('age', 0.11165048543689321), ('c_charge_degree', 0.019417475728155338), ('length_of_stay', 0.11974110032362459), ('priors_count', 0.12135922330097088), ('race', 0.01779935275080906), ('sex', 0.019417475728155338), ('two_year_recid', 0.006472491909385114), ('unrelated_column_one', 0.49514563106796117)], 3: [('Nothing shown', 0.5307443365695793), ('age', 0.0825242718446602), ('c_charge_degree', 0.043689320388349516), ('length_of_stay', 0.10032362459546926), ('priors_count', 0.07766990291262135), ('race', 0.038834951456310676), ('sex', 0.03559870550161812), ('two_year_recid', 0.016181229773462782), ('unrelated_column_one', 0.06472491909385113), ('unrelated_column_two', 0.009708737864077669)]}
lore;anchors;two_unrelated_features;0.67;2.4922682780089644;0.9727114161931019;{1: [('age', 0.21359223300970873), ('length_of_stay', 0.2168284789644013), ('priors_count', 0.2977346278317152), ('race', 0.2621359223300971), ('sex', 0.0048543689320388345), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_two', 0.003236245954692557)], 2: [('Nothing shown', 0.10841423948220065), ('age', 0.18122977346278318), ('c_charge_degree', 0.040453074433656956), ('length_of_stay', 0.18932038834951456), ('priors_count', 0.1715210355987055), ('race', 0.18770226537216828), ('sex', 0.043689320388349516), ('two_year_recid', 0.02912621359223301), ('unrelated_column_one', 0.016181229773462782), ('unrelated_column_two', 0.032362459546925564)], 3: [('Nothing shown', 0.12135922330097088), ('age', 0.09870550161812297), ('c_charge_degree', 0.09061488673139159), ('length_of_stay', 0.10517799352750809), ('priors_count', 0.09223300970873786), ('race', 0.18932038834951456), ('sex', 0.11003236245954692), ('two_year_recid', 0.05016181229773463), ('unrelated_column_one', 0.05501618122977346), ('unrelated_column_two', 0.08737864077669903)]}
lore;explan;one_unrelated_features;0.64;0.3185425883447536;0.9718674393743318;{1: [('age', 0.02750809061488673), ('c_charge_degree', 0.008090614886731391), ('priors_count', 0.008090614886731391), ('race', 0.11003236245954692), ('sex', 0.003236245954692557), ('two_year_recid', 0.0048543689320388345), ('unrelated_column_one', 0.8317152103559871), ('unrelated_column_two', 0.006472491909385114)], 2: [('Nothing shown', 0.07766990291262135), ('age', 0.13754045307443366), ('c_charge_degree', 0.03398058252427184), ('length_of_stay', 0.04854368932038835), ('priors_count', 0.09223300970873786), ('race', 0.37540453074433655), ('sex', 0.05016181229773463), ('two_year_recid', 0.03559870550161812), ('unrelated_column_one', 0.11812297734627832), ('unrelated_column_two', 0.030744336569579287)], 3: [('Nothing shown', 0.09870550161812297), ('age', 0.21035598705501618), ('c_charge_degree', 0.042071197411003236), ('length_of_stay', 0.16019417475728157), ('priors_count', 0.11326860841423948), ('race', 0.20550161812297735), ('sex', 0.08414239482200647), ('two_year_recid', 0.02912621359223301), ('unrelated_column_one', 0.02750809061488673), ('unrelated_column_two', 0.02912621359223301)]}
lore;explan;two_unrelated_features;0.67;0.8279417603884227;0.9727114161931019;{1: [('age', 0.043689320388349516), ('length_of_stay', 0.0016181229773462784), ('priors_count', 0.0744336569579288), ('race', 0.059870550161812294), ('unrelated_column_one', 0.3964401294498382), ('unrelated_column_two', 0.42394822006472493)], 2: [('Nothing shown', 0.043689320388349516), ('age', 0.06472491909385113), ('c_charge_degree', 0.02750809061488673), ('length_of_stay', 0.032362459546925564), ('priors_count', 0.05501618122977346), ('race', 0.28317152103559873), ('sex', 0.030744336569579287), ('two_year_recid', 0.009708737864077669), ('unrelated_column_one', 0.2313915857605178), ('unrelated_column_two', 0.22168284789644013)], 3: [('Nothing shown', 0.06796116504854369), ('age', 0.20550161812297735), ('c_charge_degree', 0.03398058252427184), ('length_of_stay', 0.1715210355987055), ('priors_count', 0.0889967637540453), ('race', 0.17313915857605178), ('sex', 0.05663430420711974), ('two_year_recid', 0.016181229773462782), ('unrelated_column_one', 0.09546925566343042), ('unrelated_column_two', 0.09061488673139159)]}
lore;lime;one_unrelated_features;0.64;0.006479016036248243;0.9718674393743318;{1: [('length_of_stay', 0.003236245954692557), ('unrelated_column_one', 0.9967637540453075)], 2: [('length_of_stay', 0.0016181229773462784), ('race', 0.9951456310679612), ('unrelated_column_one', 0.003236245954692557)], 3: [('c_charge_degree', 0.09546925566343042), ('length_of_stay', 0.12459546925566344), ('priors_count', 0.37540453074433655), ('sex', 0.28317152103559873), ('two_year_recid', 0.038834951456310676), ('unrelated_column_two', 0.0825242718446602)]}
lore;lime;two_unrelated_features;0.67;0.5657941588687991;0.9727114161931019;{1: [('length_of_stay', 0.0048543689320388345), ('race', 0.0016181229773462784), ('sex', 0.012944983818770227), ('unrelated_column_one', 0.4935275080906149), ('unrelated_column_two', 0.48705501618122976)], 2: [('c_charge_degree', 0.038834951456310676), ('priors_count', 0.0016181229773462784), ('race', 0.05177993527508091), ('sex', 0.09061488673139159), ('two_year_recid', 0.04854368932038835), ('unrelated_column_one', 0.33818770226537215), ('unrelated_column_two', 0.43042071197411)], 3: [('c_charge_degree', 0.23462783171521034), ('length_of_stay', 0.02750809061488673), ('priors_count', 0.019417475728155338), ('race', 0.2766990291262136), ('sex', 0.21035598705501618), ('two_year_recid', 0.08090614886731391), ('unrelated_column_one', 0.11650485436893204), ('unrelated_column_two', 0.03398058252427184)]}
lore;shap;one_unrelated_features;0.64;0.06112453926592281;0.9718674393743318;{1: [('length_of_stay', 0.030744336569579287), ('unrelated_column_one', 0.9692556634304207)], 2: [('age', 0.08576051779935275), ('c_charge_degree', 0.024271844660194174), ('length_of_stay', 0.12135922330097088), ('priors_count', 0.13106796116504854), ('race', 0.5129449838187702), ('sex', 0.011326860841423949), ('two_year_recid', 0.05339805825242718), ('unrelated_column_one', 0.030744336569579287), ('unrelated_column_two', 0.02912621359223301)], 3: [('age', 0.1553398058252427), ('c_charge_degree', 0.05501618122977346), ('length_of_stay', 0.21035598705501618), ('priors_count', 0.1779935275080906), ('race', 0.24919093851132687), ('sex', 0.038834951456310676), ('two_year_recid', 0.042071197411003236), ('unrelated_column_two', 0.07119741100323625)]}
lore;shap;two_unrelated_features;0.67;0.9463773152273236;0.9727114161931019;{1: [('age', 0.009708737864077669), ('c_charge_degree', 0.003236245954692557), ('length_of_stay', 0.06310679611650485), ('priors_count', 0.0372168284789644), ('race', 0.05339805825242718), ('sex', 0.0016181229773462784), ('unrelated_column_one', 0.42071197411003236), ('unrelated_column_two', 0.4110032362459547)], 2: [('age', 0.06634304207119741), ('c_charge_degree', 0.022653721682847898), ('length_of_stay', 0.05339805825242718), ('priors_count', 0.05663430420711974), ('race', 0.23948220064724918), ('sex', 0.01779935275080906), ('two_year_recid', 0.016181229773462782), ('unrelated_column_one', 0.27993527508090615), ('unrelated_column_two', 0.24757281553398058)], 3: [('age', 0.12297734627831715), ('c_charge_degree', 0.040453074433656956), ('length_of_stay', 0.13754045307443366), ('priors_count', 0.10032362459546926), ('race', 0.3818770226537217), ('sex', 0.025889967637540454), ('two_year_recid', 0.045307443365695796), ('unrelated_column_one', 0.09546925566343042), ('unrelated_column_two', 0.05016181229773463)]}
lime;anchors;one_unrelated_features;1.0;8.476480131899542;0.9998049453847078;{1: [('age', 0.0016181229773462784), ('length_of_stay', 0.003236245954692557), ('race', 0.9951456310679612)], 2: [('Nothing shown', 0.9951456310679612), ('age', 0.0016181229773462784), ('length_of_stay', 0.0016181229773462784), ('priors_count', 0.0016181229773462784)], 3: [('Nothing shown', 0.9967637540453075), ('unrelated_column_one', 0.0016181229773462784), ('unrelated_column_two', 0.0016181229773462784)]}
lime;anchors;two_unrelated_features;0.99;7.291165874538972;0.9999249789941184;{1: [('age', 0.003236245954692557), ('length_of_stay', 0.0016181229773462784), ('priors_count', 0.0016181229773462784), ('race', 0.9919093851132686), ('unrelated_column_two', 0.0016181229773462784)], 2: [('Nothing shown', 0.9919093851132686), ('age', 0.0048543689320388345), ('priors_count', 0.003236245954692557)], 3: [('Nothing shown', 1.0)]}
lime;explan;one_unrelated_features;1.0;20.72326579034252;0.9998049453847078;{1: [('length_of_stay', 0.003236245954692557), ('race', 0.9967637540453075)], 2: [('Nothing shown', 0.41423948220064727), ('age', 0.012944983818770227), ('length_of_stay', 0.10194174757281553), ('priors_count', 0.42071197411003236), ('race', 0.003236245954692557), ('unrelated_column_one', 0.043689320388349516), ('unrelated_column_two', 0.003236245954692557)], 3: [('Nothing shown', 0.4401294498381877), ('age', 0.014563106796116505), ('c_charge_degree', 0.0016181229773462784), ('length_of_stay', 0.1343042071197411), ('priors_count', 0.04854368932038835), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.35760517799352753), ('unrelated_column_two', 0.0016181229773462784)]}
lime;explan;two_unrelated_features;0.99;8.345692049403379;0.9999249789941184;{1: [('age', 0.0016181229773462784), ('priors_count', 0.0016181229773462784), ('race', 0.9951456310679612), ('unrelated_column_two', 0.0016181229773462784)], 2: [('Nothing shown', 0.4174757281553398), ('age', 0.0016181229773462784), ('length_of_stay', 0.10841423948220065), ('priors_count', 0.4336569579288026), ('race', 0.003236245954692557), ('unrelated_column_one', 0.016181229773462782), ('unrelated_column_two', 0.019417475728155338)], 3: [('Nothing shown', 0.4320388349514563), ('age', 0.032362459546925564), ('c_charge_degree', 0.009708737864077669), ('length_of_stay', 0.17475728155339806), ('priors_count', 0.05016181229773463), ('sex', 0.012944983818770227), ('two_year_recid', 0.006472491909385114), ('unrelated_column_one', 0.14401294498381878), ('unrelated_column_two', 0.13754045307443366)]}
lime;lore;one_unrelated_features;1.0;2.787716948201303;0.9998049453847078;{1: [('age', 0.05016181229773463), ('length_of_stay', 0.2524271844660194), ('priors_count', 0.1796116504854369), ('race', 0.511326860841424), ('unrelated_column_one', 0.006472491909385114)], 2: [('Nothing shown', 0.3446601941747573), ('age', 0.042071197411003236), ('c_charge_degree', 0.003236245954692557), ('length_of_stay', 0.0825242718446602), ('priors_count', 0.0970873786407767), ('race', 0.22653721682847897), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.20064724919093851), ('unrelated_column_two', 0.0016181229773462784)], 3: [('Nothing shown', 0.4320388349514563), ('age', 0.06634304207119741), ('c_charge_degree', 0.0016181229773462784), ('length_of_stay', 0.15048543689320387), ('priors_count', 0.12297734627831715), ('race', 0.11650485436893204), ('sex', 0.003236245954692557), ('two_year_recid', 0.008090614886731391), ('unrelated_column_one', 0.09546925566343042), ('unrelated_column_two', 0.003236245954692557)]}
lime;lore;two_unrelated_features;0.99;5.399100129174005;0.9999249789941184;{1: [('age', 0.05016181229773463), ('length_of_stay', 0.2540453074433657), ('priors_count', 0.11812297734627832), ('race', 0.5776699029126213)], 2: [('Nothing shown', 0.343042071197411), ('age', 0.019417475728155338), ('c_charge_degree', 0.0016181229773462784), ('length_of_stay', 0.09385113268608414), ('priors_count', 0.07766990291262135), ('race', 0.23300970873786409), ('sex', 0.0016181229773462784), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.09061488673139159), ('unrelated_column_two', 0.13754045307443366)], 3: [('Nothing shown', 0.43527508090614886), ('age', 0.045307443365695796), ('c_charge_degree', 0.003236245954692557), ('length_of_stay', 0.12944983818770225), ('priors_count', 0.12459546925566344), ('race', 0.07605177993527508), ('sex', 0.0048543689320388345), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.08414239482200647), ('unrelated_column_two', 0.09385113268608414)]}
lime;shap;one_unrelated_features;1.0;20.72326579795968;0.9998049453847078;{1: [('race', 1.0)], 2: [('age', 0.26537216828478966), ('length_of_stay', 0.1262135922330097), ('priors_count', 0.3155339805825243), ('unrelated_column_one', 0.2928802588996764)], 3: [('Nothing shown', 0.02912621359223301), ('age', 0.18770226537216828), ('length_of_stay', 0.284789644012945), ('priors_count', 0.46116504854368934), ('unrelated_column_one', 0.0372168284789644)]}
lime;shap;two_unrelated_features;0.99;20.72326579113201;0.9999249789941184;{1: [('race', 1.0)], 2: [('Nothing shown', 0.10032362459546926), ('age', 0.02750809061488673), ('length_of_stay', 0.14401294498381878), ('priors_count', 0.042071197411003236), ('unrelated_column_one', 0.3365695792880259), ('unrelated_column_two', 0.34951456310679613)], 3: [('Nothing shown', 0.3446601941747573), ('age', 0.05501618122977346), ('length_of_stay', 0.2605177993527508), ('priors_count', 0.0970873786407767), ('unrelated_column_one', 0.10841423948220065), ('unrelated_column_two', 0.1343042071197411)]}
